base_smiles;base_name
[Na+].[Na+].[O-]C([O-])=O;sodium carbonate
[K+].[K+].[O-]C([O-])=O;potassium carbonate
[K+].[K+].[K+].[O-]P([O-])([O-])=O;potassium phosphate
[Cs+].[Cs+].[O-]C([O-])=O;caesium carbonate
[Na+].OC([O-])=O;sodium hydrogencarbonate
[F-].[Cs+];cesium fluoride
[F-].[K+];potassium fluoride
CCN(CC)CC;triethylamine
[K+].[OH-];potassium hydroxide
[Na+].[OH-];sodium hydroxide
CC(=O)[O-].[K+];potassium acetate
[Ba+2].[OH-].[OH-];barium dihydroxide
[Na+].[Na+].[Na+].[O-]P([O-])([O-])=O;sodium phosphate
[K+].OC([O-])=O;potassium hydrogencarbonate
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-];N-benzyl-N,N,N-triethylammonium chloride
CC(C)NC(C)C;diisopropylamine
CC[N+](CC)(CC)CC.[F-];tetrabutyl ammonium fluoride
CC[O-].[Na+];sodium ethanolate
[Li+].[Li+].[O-]C([O-])=O;lithium carbonate
CCN(C(C)C)C(C)C;N-ethyl-N,N-diisopropylamine
CC[N+](CC)(CC)CC.[Cl-];tetrabutyl-ammonium chloride
[K+].OP(O)([O-])=O;potassium dihydrogenphosphate
CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F;1-butyl-3-methylimidazolium hexafluorophosphate
[Ba+2].[OH-].[OH-];barium(II) hydroxide
[Li+].[OH-];lithium hydroxide
C[N+](C)(C)CC1=CC=CC=C1;trimethylbenzylammonium bromide
CC(C)(C)[O-].[Na+];sodium t-butanolate
