solv_smiles;solv_name
O;water
c1ccccc1C;toluene
C1OCCOC1;1,4-dioxane
CCO;ethanol
COCCOC;1,2-dimethoxyethane
O=CN(C)C;N,N-dimethyl-formamide
C1CCCO1;tetrahydrofuran
CO;methanol
CC#N;acetonitrile
CC(O)C;isopropyl alcohol
CCCCO;butan-1-ol
c1ccccc1;benzene
Cc1c(C)cccc1;xylene
C(Cl)Cl;dichloromethane
CC(N(C)C)=O;N,N-dimethyl acetamide
CC(=O)C;acetone
OCCO;ethylene glycol
CN1CCCC1=O;1-methyl-pyrrolidin-2-one
CCOCCO;2-ethoxy-ethanol
CS(=O)C;dimethyl sulfoxide
Cc1cc(cc(c1)C)C;1,3,5-trimethyl-benzene
CCCO;propan-1-ol
CC(C)(C)O;tert-butyl alcohol
COCCOCCOC;diethylene glycol dimethyl ether
C(Cl)(Cl)Cl;chloroform
CC(=O)OCC;ethyl acetate
COC;Dimethyl ether
CCOCCOCC;monoethylene glycol diethyl ether
C1CCCCC1;hexane
CC1CCCO1;2-methyltetrahydrofuran
ClCCCl;1,2-dichloro-ethane
CCOCC;diethyl ether
CC1(C)CC=CC=C1;5,5-dimethyl-1,3-cyclohexadiene
CCC(C)(C)O;tert-Amyl alcohol
C1COCOC1;1,3-dioxane
Cc1ccc(C)cc1;para-xylene
Cc1c(C)cccc1;o-xylene
FC(F)(F)C(F)C(F)(F)F;1,1,1,2,3,3,3-Heptafluoropropane
FC(F)(F)CC(F)(F)C;1,1,1,3,3-pentafluorobutane
C1CCCO1;tetrahydrofuran-d8
OCC(O)CO;glycerol
C1CCCCC1;cyclohexane
CCO;ethanol-d6
O;water-d2
O=[N+](c1ccccc1)[O-];nitrobenzene
C1(C=CS2)=C2C=CC=C1;thiophene
CC(OC(C)C)=O;Isopropyl acetate
