B1(B2C3CCCC2CCC3)C2CCCC1CCC2.C12CCCC(CCC1)B12[H]B2(C3CCCC2CCC3)[H]1.[CH3:39][O:40][C:41](=[O:45])[CH2:42][CH:43]=[CH2:44]	COC(=O)CCCB1C2CCCC1CCC2
[C:8]1([CH2:14][O:15][C:16]([NH:18][CH:19]=[CH2:20])=[O:17])[CH:13]=[CH:12][CH:11]=[CH:10][CH:9]=1.[CH:21]12[CH2:40][CH2:39][CH2:38][CH:34](C[CH2:36][CH2:37]1)B12[H]B2([CH:34]3C[CH2:36][CH2:37][CH:21]2[CH2:40][CH2:39][CH2:38]3)[H]1	O=C(NCCB1C2CCCC1CCC2)OCC1=CC=CC=C1
[C:13]1([CH2:19][O:20][C:21]([NH:23][CH:24]=[CH2:25])=[O:22])[CH:18]=[CH:17][CH:16]=[CH:15][CH:14]=1.[CH:26]12[CH2:45][CH2:44][CH2:43][CH:39](C[CH2:41][CH2:42]1)B12[H]B2([CH:39]3C[CH2:41][CH2:42][CH:26]2[CH2:45][CH2:44][CH2:43]3)[H]1	O=C(NCCB1C2CCCC1CCC2)OCC1=CC=CC=C1
[N+:1]([C:4]1[CH:5]=[C:6]2[C:10](=[CH:11][CH:12]=1)[NH:9][CH:8]=[C:7]2[CH2:13][CH2:14][N:15]1[C:23](=[O:24])[C:22]2[C:17](=[CH:18][CH:19]=[CH:20][CH:21]=2)[C:16]1=[O:25])([O-:3])=[O:2].Br[Br-]Br	[O-][N+](=O)C1=CC=C2NC(Br)=C(CCN3C(=O)C4=CC=CC=C4C3=O)C2=C1
[C:16]([O:15]1[CH2:10][CH2:11][CH2:12][CH:7]([C:6]2[N:5]([CH3:20])[N:4]=[CH:3][C:2]=2[C:33]2[CH:34]=[C:35]3[C:30](=[CH:31][CH:32]=2)[C:29]2[N:39]([CH:40]=[C:27]([C:25]4[N:24]([CH:44]([CH3:45])[CH3:46])[N:23]=[C:22]([CH3:21])[N:26]=4)[N:28]=2)[CH2:38][CH2:37][O:36]3)[CH2:8][NH:9][C:13]1=[O:14])([CH3:19])([CH3:18])[CH3:17]	CC(C)N1N=C(C)N=C1C1=CN2CCOC3=CC(=CC=C3C2=N1)C1=C(C2CCCN(C2)C(=O)OC(C)(C)C)N(C)N=C1
[C:15]([O:14]1[CH2:8][CH:7]([C:6]2[N:5]([CH3:19])[N:4]=[CH:3][C:2]=2[C:32]2[CH:33]=[C:34]3[C:29](=[CH:30][CH:31]=2)[C:28]2[N:38]([CH:39]=[C:26]([C:24]4[N:23]([CH:49]([CH3:50])[CH3:51])[N:22]=[C:21]([CH3:20])[N:25]=4)[N:27]=2)[CH2:37][CH2:36][O:35]3)[CH2:11][CH2:10][NH:9][C:12]1=[O:13])([CH3:18])([CH3:17])[CH3:16]	CC(C)N1N=C(C)N=C1C1=CN2CCOC3=CC(=CC=C3C2=N1)C1=C(C2CCCN(C2)C(=O)OC(C)(C)C)N(C)N=C1
[N+:1]([C:4]1[CH:5]=[C:6]2[C:10](=[CH:11][CH:12]=1)[NH:9][CH:8]=[C:7]2[CH2:13][CH2:14][N:15]1[C:23](=[O:24])[C:22]2[C:17](=[CH:18][CH:19]=[CH:20][CH:21]=2)[C:16]1=[O:25])([O-:3])=[O:2].Br[Br-]Br	[O-][N+](=O)C1=CC=C2NC(Br)=C(CCN3C(=O)C4=CC=CC=C4C3=O)C2=C1
[C:1]1([CH2:7][O:8][C:9]([NH:11][CH:12]=[CH2:13])=[O:10])[CH:6]=[CH:5][CH:4]=[CH:3][CH:2]=1.C12CCCC(CCC1)B12[H]B2(C3CCCC2CCC3)[H]1	O=C(NCCB1C2CCCC1CCC2)OCC1=CC=CC=C1
[C:11]1([CH2:17][O:18][C:19]([NH:21][CH2:22][CH:23]=[CH2:24])=[O:20])[CH:16]=[CH:15][CH:14]=[CH:13][CH:12]=1.C12CCCC(CCC1)B12[H]B2(C3CCCC2CCC3)[H]1	O=C(NCCCB1C2CCCC1CCC2)OCC1=CC=CC=C1
[CH2:1]([O:3][C:4](=[O:14])[C:5]1[CH:10]=[CH:9][CH:8]=[C:7]([CH2:11][CH:12]=[CH2:13])[CH:6]=1)[CH3:2].C12CCCC(CCC1)B12[H]B2(C3CCCC2CCC3)[H]1	CCOC(=O)C1=CC(CCCB2C3CCCC2CCC3)=CC=C1
COC1C=C(C=C(OC)C=1)C[C:7]1[C:15]2[C:10](=[CH:11][CH:12]=[CH:13][C:14]=2[CH2:16][CH2:17][C:18]2[CH:27]=[CH:26][C:21]([C:22]([O:24][CH3:25])=[O:23])=[CH:20][CH:19]=2)[CH2:9][CH:8]=1.C12CCCC(CCC1)B12[H]B2(C3CCCC2CCC3)[H]1	COC(=O)C1=CC=C(CCB2C3CCCC2CCC3)C=C1
[C:8]1([CH2:14][O:15][C:16]([NH:18][CH:19]=[CH2:20])=[O:17])[CH:13]=[CH:12][CH:11]=[CH:10][CH:9]=1.[CH:21]12[CH2:40][CH2:39][CH2:38][CH:34](C[CH2:36][CH2:37]1)B12[H]B2([CH:34]3C[CH2:36][CH2:37][CH:21]2[CH2:40][CH2:39][CH2:38]3)[H]1	O=C(NCCB1C2CCCC1CCC2)OCC1=CC=CC=C1
[C:13]1([CH2:19][O:20][C:21]([NH:23][CH:24]=[CH2:25])=[O:22])[CH:18]=[CH:17][CH:16]=[CH:15][CH:14]=1.[CH:26]12[CH2:45][CH2:44][CH2:43][CH:39](C[CH2:41][CH2:42]1)B12[H]B2([CH:39]3C[CH2:41][CH2:42][CH:26]2[CH2:45][CH2:44][CH2:43]3)[H]1	O=C(NCCB1C2CCCC1CCC2)OCC1=CC=CC=C1
[C:9]1([CH2:15][O:16][C:17]([NH:19][CH:20]=[CH2:21])=[O:18])[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=1.[CH:22]12[CH2:41][CH2:40][CH2:39][CH:35](C[CH2:37][CH2:38]1)B12[H]B2([CH:35]3C[CH2:37][CH2:38][CH:22]2[CH2:41][CH2:40][CH2:39]3)[H]1	O=C(NCCB1C2CCCC1CCC2)OCC1=CC=CC=C1
[C:16]([O:15]1[CH2:10][CH2:11][CH2:12][CH:7]([C:6]2[N:5]([CH3:20])[N:4]=[CH:3][C:2]=2[C:33]2[CH:34]=[C:35]3[C:30](=[CH:31][CH:32]=2)[C:29]2[N:39]([CH:40]=[C:27]([C:25]4[N:24]([CH:44]([CH3:45])[CH3:46])[N:23]=[C:22]([CH3:21])[N:26]=4)[N:28]=2)[CH2:38][CH2:37][O:36]3)[CH2:8][NH:9][C:13]1=[O:14])([CH3:19])([CH3:18])[CH3:17]	CC(C)N1N=C(C)N=C1C1=CN2CCOC3=CC(=CC=C3C2=N1)C1=C(C2CCCN(C2)C(=O)OC(C)(C)C)N(C)N=C1
[C:15]([O:14]1[CH2:8][CH:7]([C:6]2[N:5]([CH3:19])[N:4]=[CH:3][C:2]=2[C:32]2[CH:33]=[C:34]3[C:29](=[CH:30][CH:31]=2)[C:28]2[N:38]([CH:39]=[C:26]([C:24]4[N:23]([CH:49]([CH3:50])[CH3:51])[N:22]=[C:21]([CH3:20])[N:25]=4)[N:27]=2)[CH2:37][CH2:36][O:35]3)[CH2:11][CH2:10][NH:9][C:12]1=[O:13])([CH3:18])([CH3:17])[CH3:16]	CC(C)N1N=C(C)N=C1C1=CN2CCOC3=CC(=CC=C3C2=N1)C1=C(C2CCCN(C2)C(=O)OC(C)(C)C)N(C)N=C1
[CH:1]12[CH2:20][CH2:19][CH2:18][CH:14]([CH2:15][CH2:16][CH2:17]1)B12[H]B2([CH:14]3[CH2:18][CH2:19][CH2:20][CH:1]2[CH2:17][CH2:16][CH2:15]3)[H]1	COC(=O)C1=CC=C(CCB2C3CCCC2CCC3)C=C1

